zone,left_ratio,middle_ratio,right_ratio,timestamp
RIGHT,0.9553,0.0,0.3997,23:49:11
RIGHT,0.9069,0.0,0.3997,23:49:11
RIGHT,0.9069,0.0,0.4143,23:49:11
RIGHT,0.8958,0.0,0.4143,23:49:11
RIGHT,0.8958,0.0,0.4413,23:49:11
RIGHT,0.7436,0.0,0.4413,23:49:11
RIGHT,0.7436,0.0,0.5324,23:49:11
RIGHT,0.7155,0.0,0.5324,23:49:11
RIGHT,0.7155,0.0,0.5052,23:49:11
RIGHT,0.6494,0.0,0.5052,23:49:11
RIGHT,0.6494,0.0,0.5212,23:49:12
RIGHT,0.567,0.0,0.5212,23:49:12
RIGHT,0.567,0.0,0.4845,23:49:12
RIGHT,0.5637,0.0,0.4744,23:49:12
RIGHT,0.5638,0.0,0.3785,23:49:12
RIGHT,0.6007,0.0,0.361,23:49:12
RIGHT,0.8156,0.0,0.3434,23:49:13
RIGHT,0.8156,0.0,0.3454,23:49:13
RIGHT,0.8262,0.0,0.3264,23:49:13
RIGHT,0.8565,0.0,0.3009,23:49:13
RIGHT,0.8913,0.0,0.2863,23:49:13
RIGHT,0.761,0.0,0.2863,23:49:14
RIGHT,0.761,0.0,0.3382,23:49:14
RIGHT,0.7525,0.0,0.3382,23:49:14
RIGHT,0.7525,0.0,0.3049,23:49:14
RIGHT,0.8575,0.0,0.3049,23:49:14
RIGHT,0.8575,0.0,0.5153,23:49:14
RIGHT,0.9019,0.0,0.5153,23:49:14
RIGHT,0.9019,0.0,0.5336,23:49:14
RIGHT,0.8593,0.0,0.5336,23:49:14
RIGHT,0.8593,0.0,0.5158,23:49:14
RIGHT,0.9284,0.0,0.5158,23:49:15
RIGHT,0.9284,0.0,0.4899,23:49:15
RIGHT,0.8939,0.0,0.4899,23:49:15
RIGHT,0.8939,0.0,0.5042,23:49:15
RIGHT,0.8511,0.0,0.5042,23:49:15
RIGHT,0.8781,0.0,0.5042,23:49:15
RIGHT,0.8781,0.0,0.5177,23:49:15
RIGHT,0.921,0.0,0.5177,23:49:15
RIGHT,0.921,0.0,0.4499,23:49:15
RIGHT,0.9828,0.0,0.4499,23:49:16
RIGHT,0.9828,0.0,0.4645,23:49:16
RIGHT,0.9677,0.0,0.2608,23:49:16
RIGHT,1.003,0.0,0.3016,23:49:16
RIGHT,0.988,0.0,0.277,23:49:16
RIGHT,0.9369,0.0,0.277,23:49:16
RIGHT,0.9369,0.0,0.3632,23:49:17
RIGHT,0.8645,0.0,0.3632,23:49:17
RIGHT,0.8645,0.0,0.3665,23:49:17
RIGHT,0.9047,0.0,0.3665,23:49:17
RIGHT,0.9047,0.0,0.4071,23:49:17
RIGHT,0.8942,0.0,0.4071,23:49:17
RIGHT,0.8942,0.0,0.4709,23:49:17
RIGHT,0.8668,0.0,0.4709,23:49:17
RIGHT,0.8668,0.0,0.4878,23:49:17
RIGHT,0.8072,0.0,0.4878,23:49:17
RIGHT,0.8072,0.0,0.4977,23:49:18
RIGHT,0.7456,0.0,0.4977,23:49:18
RIGHT,0.7456,0.0,0.425,23:49:18
RIGHT,0.6143,0.0,0.425,23:49:18
RIGHT,0.6143,0.0,0.5316,23:49:18
